year,month,day,week_day,time,saying
2020,11,5,3,18,为盲盒（智商税）亿元市场助力。太香了。
2020,11,1,6,16,网页链接 帮忙填一下问卷吧，谢谢呀
2020,10,1,3,20,我们家对面的小哥哥，虽然有点吵，但是真的棒
2020,8,30,6,8,我终于过早完了，以为自己挺早的，结果大佬永远是大佬，来嘛，shua嘛
2020,7,31,4,21,这是昨天吃烧烤找别人老板要来的瓶子，太好看了（本来还点了一瓶芬达，结果没好意思要，也超好看），其实主要想说的是，学校食堂把我气饱了，中午晚上都没怎么吃，就去宵夜了。
2020,7,9,3,17,因为自己不够好，所以只能用一句“不在乎别人怎么说”来逃避，是吗？到底是无坚不摧还是不堪一击？抱抱自己。
2020,7,4,5,12,今天再最后睡一次长达两个小时的午觉
2020,7,1,2,20,明天不是星期天吗，为什么要6点40开视频
2020,6,24,2,17,问：开学四校联考石锤吗？
2020,6,9,1,9,背书5分钟，录视频2小时明明背得那么好，怎么一录视频就跟鬼一样受不了
2020,5,20,2,12,扎心，一击毙命
2020,5,17,6,17,找这个角度太不容易了
2020,4,30,3,9,我是不是脾气越来越差，越来越强势了？
2020,4,27,0,22,眼瞎腰疼心累作业没写。
2020,4,25,5,11,你快点到我身边来，让我抱抱你，然后……吃掉？
2020,4,21,1,19,十年前我也在这里窜上窜下
2020,4,4,5,0,我的天，终于把欠的作业搞完了，立一个flag，绝对不拖作业了。自作孽。
2020,3,31,1,23,我给自己找事儿的能力绝对是第一，真是变态。
2020,3,24,1,12,好累，算了吧，你不重要。我会好好努力的。
2020,3,3,1,7,
2020,3,1,6,0,珊珊同学，生日快乐!(^O^)y@Alkaid Petrichor. 我QQ上第一个冰激凌是你弄出来的哇！开心！聊了一个月QQ才知道，我的话原来这么多。。。我宣布，633后援会于2020年3月3日正式挂牌，会长：小1。（别人都是口头的说，这个是挂牌了的，可还行？）还有，祝你未来一年百病不侵，考神附体，670算什么，再创新高！！平安喜乐(ღ˘⌣˘ღ)
2020,2,28,4,16,励志墙 ：今天也是希望被夸的一天                  来自 华为nova (4G)
2020,2,9,6,0,作文纸搞定！yeah！
2020,1,26,6,18,网页链接 调查问卷，老少皆宜，xk1802633•神奇宝贝出品转发谢谢。
2020,1,21,1,12,朋友坦白局       点此匿名提问👆👆👆
2020,1,17,4,12,(｡･ω･｡)ﾉ♡
2020,1,12,6,15,冷风吹啊吹
2019,12,22,6,18,懒得热菜又不想吃冷的，就把所有东西炒在一起，习坎第一懒是我没错了！祝，明天考试大吉。
2019,11,26,1,13,今天冬至，记得吃饺子。想你们了。祝大家过个暖冬。 学考加油。
2019,11,17,6,18,我不配做社会主义接班人
2019,11,3,6,20,我在这里的意义，就是让认识我的人觉得世界上多了一点点美好。
2019,8,18,6,16,哈哈哈，只有学霸老爷爷。
2019,8,12,0,20,家里喝茶，久违的茶话会。
2019,8,12,0,19,姜太公电鱼 ：其实说真的，我自己都不知道自己为什么会入了生竞的坑，在去年的今天我都无法相信我以后的发展方向竟然会是生物专业。学校的课程的确都不算什么，一度把竞赛当做补充调剂的我在这里竟也感受到了前所未有的紧迫感，国赛的竞争力的确是太强了，我们看到了其他学校高不可攀的实力，也发现了沙市中学学生得 展开全文                  来自 华为nova (4G)
2019,8,10,5,17,34天，很充实，很快乐，很值得。——————————————————————小宝贝儿们，我终于可以回来了！！
2019,8,9,4,18,我的身体告诉我：你一切都很好，早睡早起对身体也好。我的脑子告诉我：你要放假，没有假的暑假是不完整的。我只是很不爽而已。我想看电影，想吃火锅，吃烧烤，想逛街，想睡懒觉，想哭。。。
2019,8,7,2,21,生日快乐
2019,7,31,2,7,自在独行·七夕
2019,7,27,5,18,终于明白，有些路，只能一个人走。那些邀约好同行的人，一起相伴雨季，走过年华，但有一天终究会在某个渡口离散。红尘陌上，独自行走，绿萝拂过衣襟，青云打湿诺言。山和水可以两两相忘，日与月可以毫无瓜葛。那时候，只一个人的浮世清欢，一个人的细水长流。
2019,7,24,2,18,刷微博。。。
2019,7,22,0,11,边吃饭边听某语言听力
2019,7,18,3,14,救命啊，热死了
2019,7,9,1,11,真好看
2019,4,30,1,8,走了哦
2019,4,7,6,20,好感动怎么办？
2019,3,24,6,21,从此以后，1804在我心中只剩美好，感谢老师们的辛苦付出，感谢同学们的陪伴与关爱。爱你们。再见1804，你好1802.
2019,2,19,1,1,
2019,1,24,3,21,偶然遇见你，熟悉而又陌生的美丽
2018,11,24,5,23,考试的时候脑子跟灌了Pb一样
2018,10,5,4,22,我想，以前的学生和我们最大的不一样就是他们是这样拔河的
2018,8,27,0,21,@沐林清 你可真是个人才
2018,8,12,6,17,多幸运，能与你们同时；多幸运，能与天下人同时
2018,8,12,6,22,get到新技能，数学建模算命法
2018,8,12,6,21,姐姐还是蛮好看的@沐林清
2018,7,13,4,19,大宝宝
2018,7,13,4,10,真的。。。有人。。。举。。。报。。。了。。。
2018,7,11,2,7,各位大佬照顾一下我们这些在补习班苦苦挣扎的孩子们，别发火车站飞机场的照片了，内心痛苦ing
2018,7,10,1,22,我爸给我灌鸡汤
2018,6,28,3,8,各位早，你们的黄姐姐正在逐渐恢复生机（我上QQ了，大家可以找我玩了）。
2018,6,2,5,17,过分@沐林清
2018,6,2,5,12,有了，谢谢大佬们
2018,4,22,6,11,各位大佬有英语答案没
2018,4,1,6,20,满纸荒唐言，一把辛酸泪。都云作者痴，谁解其中味。听说一中出成绩了，我好怕
2018,3,24,5,12,哪位帅哥眼光这么好，哈哈哈，开心
2018,3,24,5,10,只是一点心意 下载新版手机QQ
2018,3,4,6,8,
2018,3,3,5,17,宠辱不惊闲看庭前花开花落去留无意漫观天外云卷云舒
2018,2,20,1,16,黄姐姐..................................................................................你好能作啊
2018,2,18,6,20,和爷爷奶奶一起看肥皂剧。哈哈哈。
2018,2,18,6,10,白天夜间勿扰，七点到九点半随意，谢谢
2018,2,15,3,10,为何都这么晚发消息，真以为黄姐姐是夜猫子吗@觉觉 @Aurora @沐林清
2018,2,9,4,22,喝一夜，
2018,2,8,3,21,我为朋友两肋插刀，朋友却插我两刀。好伤心
2018,2,4,6,21,色难
2018,2,4,6,16,吼吼吼@觉觉
2018,2,1,3,12,心情不好，你的消息可能我看到了也不回
2018,1,31,2,12,都是套路。。。
2018,1,31,2,20,雪已经冻得踩不出印子了，姐姐灵机一动掏出了一块钱，我真聪明
2018,1,30,1,20,好冷啊。。。
2018,1,20,5,16,我跟我爸说明天不考试我爸问：“为什么？”我说：“天气原因。”接着，我爸语出惊人：“啊！那不白学了！”我一口饭差点喷出来。吓死我了，哈哈哈。
2017,11,12,6,12,黄姐姐要征服世界
2017,9,10,6,9,已经颓废到发迷信的地步了
2017,7,5,2,12,帮我看看这写的什么，谢谢
2017,7,4,1,9,哪位神通广大的同学能帮我借一本九年级英语书？万分感谢
2017,6,30,4,10,幸福的日子结束了，下午开始写作业喽！
2017,6,10,5,11,专业碎纸30年
2017,5,30,1,12,诚实的人从不说实话(⊙o⊙)…
2017,5,30,1,9,
2017,4,3,0,9,我们家三个人被吓醒了，半夜没睡，可乌龟一点事没有，不是说好动物比人敏感吗？？
2017,3,24,4,10,对，就是我
2017,1,31,1,0,
2017,1,29,6,22,陪三个小孩儿看玩具打架。。。。。我醉了他们津津有味
2017,1,18,2,14,祝福得有诚意！看我秒变红包福娃，给你拜年了!       变身福娃去拜年
2017,1,17,1,17,E
2017,1,17,1,10,问这是谁的电话号码？？？？
2017,1,16,0,8,发表图片
2017,1,16,0,13,这是一个我笑了一年的梗，2017我决定忘了它，加油@Aurora
2017,1,14,5,10,求邵绪艺电话
2017,1,7,5,19,恭喜发财 下载新版手机QQ
2016,11,20,6,16,为了吃燃面，小笼包，糖葫芦。。。。。。
2016,11,13,6,9,陈翔六点半                                     关注                                                                    【陈翔六点半】来自学霸的一万点暴击！请点击头像关注我们哟！
2016,11,5,5,18,"最美的音乐时光，只愿分享给最特别的你，点开见证。<a href="" 一起旅行 "">点击欣赏</a>"
2016,10,4,1,15,请你们吃饭，别撑了 展开全文
2016,10,2,6,21,沪江开心词场       我已经背词4天了，为我点赞加油吧！ (╭￣3￣)╭
2016,10,2,6,15,我是天才
2016,9,17,5,14,美女你谁 ：物理老师三大特点说话带口音比喻特形象长相略带萌                  来自 小米
2016,8,25,3,14,Good Good Study;Day Day Up
2016,8,19,4,10,心若向阳，无畏伤悲。 ——林徽因
2016,8,15,0,15,ｸﾞｯ!(๑•̀ㅂ•́)و✧
2016,8,4,3,12,发表图片
2016,8,1,0,13,>>查看我的兵种
2016,8,1,0,11,蹲墙角哭去(⌯˃̶̥̆д˂̶̥̥̥̆ ू) 暑假作业好多
2016,7,30,5,9,
2016,7,29,4,16,在我空间留言板上写上自己的名字，不要留字母，就算有一天不在了也能找回来。发给你扣扣上的所有的好友 包括我 。 看看有多少人给你留言 只留名字 发不发被个看你
2016,7,29,4,17,万能青年                                     关注                                                                    宝宝吃柠檬搞笑视频                                     来自 小米
2016,7,29,4,16,可爱
2016,7,29,4,16,不懂老师 ：这是一个无法让人快进的视频，宝宝太可爱的                                     来自 小米
2016,7,29,4,15,上大热点君 ：熊孩子！得知糖果被吃完后，宝宝们的反应太可爱了  【点关注，看更多热点视频，喜欢的话打赏一下哦】                                                       来自 小米
2016,7,1,4,15,"全球热门搜罗 ：哈哈哈。。。               
            
            
        
        
        
    
        
    
        
            
                
            
        
    
        
        
    
        
        
        
            
                
                    网络异常，请重试
                
            
        
                          来自 小米"
2016,6,10,4,9,万能的淘宝
2016,6,4,5,18,满满的祝福塞进我的消息栏，谢谢好朋友
2016,5,20,4,12,首届全国大学生“你最有才”大赛
2016,5,8,6,19,酷学习       发现个不错的应用#酷学习#，推荐给大家下载 @酷学习网
2016,4,24,6,11,
2016,3,24,3,11,李欣龙
2016,3,24,3,21,谢谢亲爱的们(・ω< )★
2016,2,10,2,1,
2016,2,10,2,19,16                            来自 SAMSUNG                                                                         上传24张照片/视频到《说说和日志相册》
2015,8,20,3,10,泽哥潮鞋团队货到付款 ：我发现了一个很神奇的现象无论你是用iPhone1iPhone2iPhone3iPhone4 展开全文                  来自 小米
2015,8,19,2,10,
2015,8,17,0,10,来自 SAMSUNG
2015,8,15,5,16,来自 SAMSUNG
2015,8,14,4,15,来自 小米
2015,8,12,2,15,来自 小米
2015,8,12,2,18,59                                                                    上传67张照片/视频到《说说和日志相册》
2015,8,12,2,17,
2015,8,12,2,17,旅游相册                                                                      2015.08.07出发，畅游5天。                                                                                                                                                    上传93张照片/视频到《旅行》
2015,8,11,1,17,旅游相册                                                                      2015.08.07出发，畅游5天。                                                                                                                                                    上传12张照片/视频到《旅行》
2015,8,6,3,21,旅游相册                                                                      2015.08.07出发，畅游5天。                                                                                                            来自 小米                                                                         上传73张照片/视频到《旅行》
2015,8,4,1,15,来自 小米
2015,8,3,0,12,
2015,7,30,3,13,来自 小米
2015,7,29,2,12,
2015,7,28,1,17,我爱夏天
2015,7,27,0,19,来自 小米
2015,7,26,6,14,来自 小米
2015,7,21,1,18,来自 小米
2015,7,19,6,21,来自 小米
2015,7,17,4,15,游 戏开始 被点到的人要复制这段文字，然后晒出自己的分组，再艾特二十个人，如果点到你假装看不见，我们不熟 @木木 @觉觉 @中系温柔豆瓣酱 @朋友 @川上富江. @xx @w人间理想. @ @☄ @橖辰 @念秋 @沁透你心脏▃_ @123 @周子楠 @CoNvinkl @方跟头EL @研sama. @庸人 @秋凤梧 @超级
2015,7,17,4,19,来自 小米
2015,7,16,3,19,ᯤ ：认识三个的赞下，认识五个的转走吧                  来自 小米
2015,7,12,6,14,来自 小米
2015,7,11,5,19,来自 小米
2015,7,9,3,8,来自 小米
2015,7,5,6,18,被点到的人要复制这段文字 然后晒出手机里的倒数第4张照片 然后再艾特五个人 怎么样敢玩吗 不发的 就是不把我当朋友@觉觉 @秋凤梧 @吖敏 @w人间理想. @
2015,7,4,5,9,
2015,7,3,4,12,赖床分子 暑假，我喜欢。
2015,6,27,5,20,来自 小米
2015,6,26,4,19,来自 小米
2015,6,22,0,20,
2015,6,22,0,16,来自 小米
2015,6,21,6,16,学霸养成中 加油！我要考一百！
2015,6,20,5,12,来自 小米
2015,6,14,6,8,来自 小米
2015,6,14,6,17,来自 小米
2015,6,7,6,14,
2015,6,6,5,10,来自 小米
2015,5,31,6,17,来自 小米
2015,5,31,6,19,___    苏爹爹i   ： 毕业那天 请允许我 将我认为重要的人 都抱一抱                  来自 小米
2015,5,30,5,13,来自 小米
2015,5,26,1,18,"李知恩 ：谁爱这个小偷,就转走吧~                  来自 小米"
2015,5,24,6,19,
2015,5,23,5,17,来自 小米
2015,5,17,6,14,
2015,5,17,6,19,上传1张照片到《手机相册》
2015,5,16,5,12,来自 小米
2015,5,16,5,13,来自 小米
2015,5,10,6,13,
2015,5,10,6,13,来自 Android
2015,5,3,6,11,祝妈妈母亲节快乐
2015,5,1,4,18,为了毕业考试冲啊，加油
2015,4,30,3,17,美丽天使 ：母亲节快到了 妈 我也为您转了 看到的人在66秒内为妈妈转发，可保妈妈一生平安，好运常伴。✨✨✨❤❤❤看到的人在10小时内为妈妈转发，可保妈妈一生平安，好运常伴。✨✨✨❤❤❤ 愿天下所有母亲都健康 ！！平安！！！   爱你妈妈                  来自 小米
2015,4,29,2,18,
2015,4,27,0,18,
2015,4,25,5,20,"jnRB4pHSto9!Soxv1jv00cm9yq3hUSTIkBKEg!G5TbHz8S427LvOY6tokXMN64e9vTKPFXiudRuyIYG77Fqb6P6l4FrEFbwrT5JE0npJDoPD_""   data-topicid=""941431205_a5191d38d92f3e5568aa0600__1""    data-feedstype=""100""  data-abstime=""1430138841""   data-iswupfeed=""1""  data-platformid=""50""  data-accessright=""1"">"
2015,4,24,4,17,
2015,4,20,0,18,
2015,4,19,6,21,
2015,4,18,5,12,
2015,4,17,4,15,
2015,4,15,2,18,
2015,4,12,6,20,来自 小米4 4G版
2015,4,11,5,18,来自 小米4 4G版
2015,4,10,4,13,来自 小米4 4G版
2015,4,6,0,17,来自 小米4 4G版
2015,4,5,6,15,来自 小米4 4G版
2015,4,4,5,10,来自 小米4 4G版
2015,4,3,4,13,来自 小米4 4G版
2015,4,2,3,17,来自 小米4 4G版
2015,3,29,6,20,来自 小米4 4G版
2015,3,27,4,9,来自 小米4 4G版
2015,3,26,3,20,来自 小米4 4G版
2015,3,22,6,18,来自 小米4 4G版
2015,3,21,5,14,来自 小米4 4G版
2015,3,21,5,21,来自 小米4 4G版
2015,3,20,4,21,
2015,3,15,6,21,来自 小米4 4G版
2015,3,14,5,14,来自 小米4 4G版
2015,3,8,6,14,来自 小米4 4G版
2015,3,7,5,9,来自 小米4 4G版
2015,3,6,4,9,来自 小米4 4G版
2015,3,1,6,19,来自 小米4 4G版
2015,2,28,5,11,来自 小米4 4G版
2015,2,27,4,12,来自 小米4 4G版
2015,2,26,3,12,来自 小米4 4G版
2015,2,25,2,10,
2015,2,24,1,14,来自 小米4 4G版
2015,2,23,0,11,来自 小米4 4G版
2015,2,22,6,8,来自 小米4 4G版
2015,2,21,5,8,来自 小米4 4G版
2015,2,20,4,9,来自 小米4 4G版
2015,2,19,3,9,来自 小米4 4G版
2015,2,18,2,11,来自 小米4 4G版
2015,2,17,1,11,来自 小米4 4G版
2015,2,15,6,11,来自 小米4 4G版
2015,2,14,5,10,来自 小米4 4G版
2015,2,13,4,12,来自 小米4 4G版
2015,2,12,3,10,来自 小米4 4G版
2015,2,11,2,11,来自 小米4 4G版
2015,2,10,1,11,来自 小米4 4G版
2015,2,9,0,13,来自 小米4 4G版
2015,2,8,6,21,来自 小米4 4G版
2015,2,7,5,21,来自 小米4 4G版
2015,2,5,3,11,来自 小米4 4G版
2015,1,3,5,17,——2015新年签
2015,1,3,5,19,24                            来自 小米                                                                         上传32张照片/视频到《说说和日志相册》
2014,8,30,5,18,3                            来自 小米                                                                         上传11张照片/视频到《说说和日志相册》
2014,6,28,5,16,艺术照
2014,6,21,5,19,21                            来自 小米2S                                                                         上传29张照片/视频到《说说和日志相册》
2014,6,21,5,21,42                                                                    上传50张照片/视频到《说说和日志相册》
2014,6,21,5,21,42                            来自 小米2S                                                                         上传50张照片/视频到《说说和日志相册》
2014,6,7,5,21,19                            来自 小米2S                                                                         上传27张照片/视频到《说说和日志相册》
2014,4,7,0,14,来自 小米2S
2014,4,2,2,19,8                            来自 OPPO                                                                         上传16张照片/视频到《踏青》
2014,4,2,2,18,3                                                                    上传11张照片/视频到《小学五年》
2014,1,27,0,18,60                                                                    上传68张照片/视频到《小学五年》
2014,1,21,1,10,Fariy ：这是一位94岁的老奶奶，老伴死了，两个儿子在外打工，每天捡垃圾捡到凌晨两点，不足五点又要去捡，每天只赚5、6块，生病了也不去医院。每转一次腾讯公益就会给她一毛钱，不勉强，有良心的人自然会转。帮帮这位可怜的老人吧，若觉得脏了你的微信可不转！
2014,1,16,3,14,
2013,10,27,6,11,
2013,10,26,5,13,
2013,10,19,5,12,
2013,10,19,5,13,Fariy ：这是一位94岁的老奶奶，老伴死了，两个儿子在外打工，每天捡垃圾捡到凌晨两点，不足五点又要去捡，每天只赚5、6块，生病了也不去医院。每转一次腾讯公益就会给她一毛钱，不勉强，有良心的人自然会转。帮帮这位可怜的老人吧，若觉得脏了你的微信可不转！
2013,9,18,2,13,
2013,8,6,1,17,Apple-苹果专卖店 ：中秋节快到了！！ 爸，别太累。再过几年，我替你撑起一片天。 ﻿、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、如果用你10年的青春。换爸爸长寿5年，你愿意吗？愿意的转！！！、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、 展开全文
2013,8,4,6,15,追忆似水年华 ：　　　　　　　 　　　　　　 　　　 　　　　　　　　　　　　 　　　　　　　　　　　　 　　　　　　 　　 感动天，感动地，终于感动了你。 有多少人在等着这一天？ 期待这一天的童鞋必须转走哦!!!　　　　　　　 　　　　　　 　　　 　　　　　　　　　　　　 　　　　　　　　　　　　 　　　　 展开全文
2013,8,4,6,14,一句话经典 发表日志 #这次糗大了# 00后真的是要逆天了！！           调侃下人生，分享下幽默，给点阳光小编就能这么灿烂。#这次糗大了#和你们一起记录暑假生活中的糗事，分享每一天的快乐！1、#这次糗大了# 寝室一哥们儿在假期里闲疯了，鼓捣出来的俺们寝室滴洗脚神器。。...
2013,8,4,6,14,YumYum 发表日志 女生别看！被吓到了别怪我          故事是这样的以前在各大学校里都流传着这么一个恐怖故事说是A校有不干净的东西 每当十五的时候 学校门口的鲁迅像的眼睛就会动所有教学楼都会停电楼梯会从原来的13阶变成14阶实验室的水龙头放出来的水会变成红色...   查看全文
2013,8,4,6,14,囍° 发表QQ秀泡泡日志 等老子当了校长，这就是校规！          1、没有与异性并肩走过的扣5分，理由是不善于交际。2、带学生证的扣1分，暴露身份。3、穿校服的扣2分，太没个性。...   查看全文
2013,8,4,6,14,媛媛 发表日志 计算方法太牛了，留着以后教孩子!          1.十几乘十几：口诀：头乘头，尾加尾，尾乘尾。例：12×14=？...   查看全文
2013,8,4,6,14,"贝纳普利 发表日志 七件女孩子不知道的秘密，第八件别看，看了就后悔          （1）当一个孤独的男孩经常关心你时,他已经喜欢上你了 （2）每次和你在一起的时候,他会很沉默,明明很开心,但他和你没话说,显得很无聊，你会认为他不喜欢你,错了,此时他眼里只有你,只是他习惯了以前一个人..."
